Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
5/13/2010,65000,66000,64000,64500,193870,-74530,518.93,10510.9502,0
5/14/2010,64500,66000,64000,65000,164120,-107970,520.72,10444.37012,0
5/17/2010,65000,66000,62000,63000,165670,-217650,511.27,10068.00977,0
5/18/2010,63000,64000,61000,63500,114290,5610,508.3,10193.38965,0
5/19/2010,63500,64000,60500,60500,172960,-200220,494.9,10066.57031,0
5/20/2010,60500,61000,57500,60500,149850,-144840,503.55,10043.75,0
5/21/2010,60500,60000,57500,59500,121700,-35300,483.69,9974.450195,0
5/24/2010,59500,61500,59500,61500,100590,83440,486.19,10258.99023,0
5/25/2010,61500,64000,61000,62000,224980,125920,486.25,10136.62988,34780
5/26/2010,62000,64000,62500,63000,126060,43000,492.69,10024.01953,0
5/27/2010,63000,65000,62000,64000,140040,14710,497.16,10249.54004,0
5/28/2010,64000,67000,65500,66500,129880,80810,512.99,10255.28027,0
5/31/2010,66500,67000,65000,,85620,-51250,507.44,9931.969727,0
6/1/2010,65500,66000,63500,64500,190970,-18300,508.68,9816.490234,0
6/2/2010,64500,66500,62500,66500,159120,46560,510.74,9939.980469,0
6/3/2010,66500,68500,67000,67500,130200,-93780,511.16,9899.25,0
6/4/2010,67500,68000,66500,67000,166380,-29730,510.37,10172.53027,150000
6/7/2010,67000,66000,64500,64500,175470,-41710,496.89,10211.07031,0
6/8/2010,64500,65000,62000,63000,148800,10870,497.19,10190.88965,0
6/9/2010,63000,65500,61500,62500,215330,-93900,497.56,10404.76953,0
6/10/2010,62500,65000,62000,64500,152500,21400,500.51,10409.45996,0
6/11/2010,64500,66500,64500,66000,144970,-56950,504.29,10434.16992,0
6/14/2010,66000,67000,66000,66500,184100,-21200,508.32,10450.63965,0
6/15/2010,66500,67000,65500,66000,165070,-31900,508.01,10442.41016,0
6/16/2010,66000,66000,64500,65000,212060,-94560,510.72,10293.51953,0
6/17/2010,65000,65000,63500,65000,96250,-6820,510.76,10298.44043,0
6/18/2010,65000,66000,65000,66000,160060,15520,511.18,10152.79981,0
6/21/2010,66000,68000,66000,67000,281680,-113290,514.75,10143.80957,0
6/22/2010,67000,68500,66000,68500,210430,38460,512.63,10138.51953,0
6/23/2010,68500,68500,67500,68500,105830,46100,512.82,9870.299805,0
6/24/2010,68500,69000,67500,67500,147460,4570,511.67,9774.019531,0
6/25/2010,67500,68000,66000,66000,229300,41570,505.12,9732.530273,0
6/28/2010,66000,68000,66000,67500,119190,83530,507.28,9686.480469,0
6/29/2010,67500,69000,67500,69000,137180,-41860,510.71,9743.620117,0
6/30/2010,69000,69500,67000,69500,187370,11000,507.14,10018.28027,0
7/1/2010,69500,69500,68000,68500,186030,-150490,504.02,10138.99023,0
7/2/2010,68500,68500,68000,68500,139070,-108150,503.65,10198.03027,0
7/5/2010,68500,70500,68500,70500,184310,111100,506.55,10216.26953,0
7/6/2010,70500,70500,69500,70500,152510,-135370,500.82,10363.01953,0
7/7/2010,70500,71500,69500,69500,101480,-120790,496.91,10366.71973,0
7/8/2010,69500,70500,69500,69500,126410,-64430,498.55,10359.30957,0
7/9/2010,69500,70500,69500,69500,23090,-60520,499.46,10097.90039,0
7/12/2010,69500,70000,67500,68500,133160,-21630,499.93,10154.42969,0
7/13/2010,68500,69500,68000,69500,136290,63680,509.08,10229.95996,0
7/14/2010,69500,71000,68500,68500,141580,-11430,507.34,10120.53027,0
7/15/2010,68500,70000,67500,67500,132090,-36940,505.19,10322.29981,0
7/16/2010,67500,69500,67000,67500,103720,4340,506.21,10424.62012,0
7/19/2010,67500,69000,67000,69000,116870,45780,506.84,10525.42969,0
7/20/2010,69000,69000,67500,67500,98090,19070,506.56,10537.69043,0
7/21/2010,67500,69000,68000,69000,29610,-115490,505.4,10497.87988,0
7/22/2010,69000,68500,67500,68500,75160,37010,500.28,10467.16016,0
7/23/2010,68500,69500,68500,69000,79570,-2980,500.31,10465.94043,0
7/26/2010,69000,69500,68000,68000,90350,-90160,498.1,10674.37988,350000
7/27/2010,68000,69000,68000,69000,105180,39600,497.67,10636.37988,400000
7/28/2010,69000,69000,67500,68000,116950,-111130,491,10680.42969,0
7/29/2010,68000,68000,67500,67500,92660,-104360,491.11,10674.98047,0
7/30/2010,67500,68500,67000,68000,83390,-45780,493.91,10653.55957,0
8/2/2010,68000,69000,67000,68500,69950,-33310,491.61,10698.75,0
8/3/2010,68500,69500,68000,68000,127240,-13410,491.9,10644.25,0
8/4/2010,68000,68500,67500,68000,65650,-62030,486.71,10378.83008,0
8/5/2010,68000,68500,67500,68000,109720,-144390,486.21,10319.9502,0
8/6/2010,68000,68500,67000,68000,70650,-136670,482.82,10303.15039,0
8/9/2010,68000,68500,67000,68000,71090,-89560,472.74,10302.00977,0
8/10/2010,68000,67500,66500,67000,129620,-127640,461.67,10405.84961,0
8/11/2010,67000,68000,66000,68000,98620,-154100,463.12,10415.54004,0
8/12/2010,68000,68000,66000,66500,123390,-118200,448.4,10271.20996,102990
8/13/2010,66500,67000,66000,67000,141490,-55140,452.73,10213.62012,0
8/16/2010,67000,67000,67000,67000,80080,-118380,464.76,10174.41016,0
8/17/2010,67000,67000,66500,67000,84010,-114780,463.52,10040.4502,0
8/18/2010,67000,67000,64500,65500,99710,-184190,455.49,10060.05957,20640
8/19/2010,65500,66500,64500,65000,83370,-136970,452.23,9985.80957,0
8/20/2010,65000,66500,62500,65500,47520,-73720,454.84,10150.65039,0
8/23/2010,65500,66000,65000,65500,55680,-137730,447.92,10009.73047,0
8/24/2010,65500,66000,62500,62500,79650,-124490,434.42,10014.71973,0
8/25/2010,62500,64000,59500,60000,77450,-82220,423.89,10269.46973,0
8/26/2010,60000,62000,58500,61000,98860,-6670,427.07,10320.09961,0
